"yr","plt","grp","bio"
2004,48,"ANPP",680.85
2004,49,"ANPP",905.04
2004,50,"ANPP",516.525
2004,51,"ANPP",901.801
2004,52,"ANPP",381.28
2004,53,"ANPP",580.584
2004,54,"ANPP",1096.88
2004,55,"ANPP",623.176
2004,56,"ANPP",769.568
2004,57,"ANPP",409.57
2004,58,"ANPP",928.79
2004,59,"ANPP",941.127
2004,60,"ANPP",1080.71
2004,61,"ANPP",740.99
2004,62,"ANPP",616.986
2004,63,"ANPP",688.79
2004,64,"ANPP",289.886
2004,65,"ANPP",512.27
2004,66,"ANPP",322.7
2004,67,"ANPP",1086.45
2004,68,"ANPP",500.779
2004,69,"ANPP",952.34
2004,70,"ANPP",912.77
2004,71,"ANPP",332.77
2004,72,"ANPP",1307.02
2004,73,"ANPP",526.74
2004,74,"ANPP",1414.61
2004,75,"ANPP",1197.94
2004,76,"ANPP",734.113
2004,77,"ANPP",419.148
2004,78,"ANPP",191.561
2004,79,"ANPP",731.277
2004,80,"ANPP",604.4
2004,81,"ANPP",718.01
2004,82,"ANPP",303.55
2004,83,"ANPP",1417.376
2004,84,"ANPP",375.46
2004,85,"ANPP",677.23
2004,86,"ANPP",207.022
2004,87,"ANPP",52.625
2004,88,"ANPP",377.234
2004,89,"ANPP",364.82
2004,90,"ANPP",487.87
2004,91,"ANPP",355.96
2004,92,"ANPP",813.76
2004,93,"ANPP",566.81
2004,94,"ANPP",613.76
2004,95,"ANPP",464.824
2004,96,"ANPP",537.518
2004,97,"ANPP",588.01
2004,98,"ANPP",913.76
2004,99,"ANPP",285.673
2004,100,"ANPP",355.32
2004,101,"ANPP",369.01
2004,102,"ANPP",325.107
2004,103,"ANPP",455.177
2004,104,"ANPP",313.688
2004,105,"ANPP",342.55
2004,106,"ANPP",980.497
